Nro,Fecha_solicitud,domicilio,CC,Id_Empleado
1,2013-12-03,1,4244515145,14
2,2012-01-10,1,1118772843,7
3,2011-02-16,1,6627647809,8
4,2013-03-25,0,9990075740,5
5,2013-12-03,0,11181642072,8
6,2012-01-10,0,13456197747,1
7,2011-02-16,1,15730753422,9
8,2013-03-25,1,18005309097,2
9,2013-12-03,0,20279864772,11
10,2012-01-10,1,22554420448,13
11,2011-02-16,1,24828976123,17
12,2013-03-25,1,27103531798,5
13,2013-12-03,1,29378087473,5
14,2012-01-10,1,31652643148,11
15,2011-02-16,1,33927198823,8
16,2013-03-25,1,36201754498,8
17,2013-12-03,1,38476310173,17
18,2012-01-10,1,40750865848,10
19,2011-02-16,1,43025421523,8
20,2013-03-25,1,45299977199,18
21,2013-12-03,1,47574532874,5
22,2012-01-10,1,49849088549,17
23,2011-02-16,0,52123644224,9
24,2013-03-25,1,54398199899,9
25,2013-12-03,1,56672755574,18
26,2012-01-10,1,58947311249,12
27,2011-02-16,0,61221866924,13
28,2013-03-25,0,63496422599,8
29,2013-12-03,0,65770978274,14
30,2012-01-10,1,68045533950,9
31,2011-02-16,0,70320089625,5
32,2013-03-25,1,72594645300,3
33,2013-12-03,0,74869200975,11
34,2012-01-10,0,77143756650,3
35,2011-02-16,0,79418312325,18
36,2013-03-25,1,81692868000,9
37,2013-12-03,1,83967423675,2
38,2012-01-10,0,86241979350,7
39,2011-02-16,1,88516535025,15
40,2013-03-25,0,90791090701,7
41,2013-12-03,1,93065646376,5
42,2012-01-10,1,95340202051,2
43,2011-02-16,1,97614757726,12
44,2013-03-25,1,99889313401,8
45,2013-12-03,1,102164000000,13
46,2012-01-10,1,104438000000,5
47,2011-02-16,1,106713000000,7
48,2013-03-25,0,108988000000,12
49,2013-12-03,1,111262000000,7
50,2012-01-10,1,113537000000,11
51,2011-02-16,1,115811000000,1
52,2013-03-25,0,118086000000,9
53,2013-12-03,1,120360000000,11
54,2012-01-10,1,122635000000,18
55,2011-02-16,0,124909000000,2
56,2013-03-25,0,127184000000,2
57,2013-12-03,0,129459000000,1
58,2012-01-10,0,131733000000,16
59,2011-02-16,1,134008000000,18
60,2013-03-25,1,136282000000,7
61,2013-12-03,0,138557000000,3
62,2012-01-10,0,140831000000,13
63,2011-02-16,1,143106000000,14
64,2013-03-25,1,145380000000,4
65,2013-12-03,1,147655000000,15
66,2012-01-10,0,149930000000,14
67,2011-02-16,1,152204000000,8
68,2013-03-25,1,154479000000,2
69,2013-12-03,0,156753000000,16
70,2012-01-10,0,159028000000,14
71,2011-02-16,1,161302000000,7
72,2013-03-25,0,163577000000,5
73,2013-12-03,0,165851000000,15
74,2012-01-10,1,168126000000,12
75,2011-02-16,1,170401000000,13
76,2013-03-25,0,172675000000,18
77,2013-12-03,1,174950000000,11
78,2012-01-10,1,177224000000,3
79,2011-02-16,0,179499000000,13
80,2013-03-25,0,181773000000,2
81,2013-12-03,0,184048000000,13
82,2012-01-10,0,186322000000,8
83,2011-02-16,0,188597000000,12
84,2013-03-25,1,190872000000,12
85,2013-12-03,1,193146000000,10
86,2012-01-10,0,195421000000,8
87,2011-02-16,1,197695000000,2
88,2013-03-25,1,199970000000,18
89,2013-12-03,1,202244000000,18
90,2012-01-10,0,204519000000,16
91,2011-02-16,0,206793000000,2
92,2013-03-25,0,209068000000,3
93,2013-12-03,1,211343000000,13
94,2012-01-10,1,213617000000,10
95,2011-02-16,0,215892000000,9
96,2013-03-25,1,218166000000,11
97,2013-12-03,1,220441000000,1
98,2012-01-10,1,222715000000,8
99,2011-02-16,1,224990000000,4
100,2013-03-25,1,227264000000,3
101,2013-12-03,1,229539000000,17
102,2012-01-10,1,231814000000,4
103,2011-02-16,1,234088000000,8
104,2013-03-25,0,236363000000,17
105,2013-12-03,0,238637000000,2
106,2012-01-10,0,240912000000,1
107,2011-02-16,1,243186000000,6
108,2013-03-25,1,245461000000,13
109,2013-12-03,0,247735000000,15
110,2012-01-10,1,250010000000,13
111,2011-02-16,1,252285000000,9
112,2013-03-25,1,254559000000,9
113,2013-12-03,1,4244515145,9
114,2012-01-10,1,1118772843,9
115,2011-02-16,1,6627647809,9
116,2013-03-25,1,9990075740,9
117,2013-12-03,1,11181642072,9
118,2012-01-10,1,13456197747,9
119,2011-02-16,1,15730753422,9
120,2013-03-25,1,18005309097,9
121,2013-12-03,1,20279864772,9
122,2012-01-10,1,22554420448,9
123,2011-02-16,0,24828976123,9
124,2013-03-25,1,27103531798,9
125,2013-12-03,1,29378087473,9
126,2012-01-10,1,31652643148,9
127,2011-02-16,0,33927198823,9
128,2013-03-25,0,36201754498,9
129,2013-12-03,0,38476310173,9
130,2012-01-10,1,40750865848,9
131,2011-02-16,0,43025421523,9
132,2013-03-25,1,45299977199,9
133,2013-12-03,0,47574532874,9
134,2012-01-10,0,40750865848,9
135,2011-02-16,0,43025421523,9
136,2013-03-25,1,45299977199,9
137,2013-12-03,1,47574532874,9
